proxystore_backend,task_name,input_size_bytes,output_size_bytes,task_sleep_seconds,total_time_ms,input_get_ms,input_set_ms,input_proxy_ms,input_resolve_ms,output_get_ms,output_set_ms,output_proxy_ms,output_resolve_ms
EndpointStore,pong,0,0,1.0,10390.214545,179.845342,4.376403,4.415886,0.018419,42.299518,7.847512,7.882623,42.333135
EndpointStore,pong,0,0,1.0,1322.341954,45.384084,3.228053,3.261447,0.023309,42.09543,8.677337,8.71604,42.123673
EndpointStore,pong,0,0,1.0,1292.823331,51.261717,3.383395,3.41664,0.018416,41.966018,8.051109,8.083834,41.992688
EndpointStore,pong,0,0,1.0,1330.545453,46.816351,3.152499,3.185474,0.021333,41.943816,8.454491,8.499076,41.973816
EndpointStore,pong,0,0,1.0,1325.435955,46.201832,3.384694,3.420778,0.031027,44.100973,9.438277,9.476506,44.127775
EndpointStore,pong,10,0,1.0,1312.852213,68.794974,3.036619,3.065889,0.02233,41.723918,7.962697,7.995824,41.750158
EndpointStore,pong,10,0,1.0,1307.052977,52.850847,3.037006,3.072729,0.019487,41.341601,8.695857,8.749456,41.364745
EndpointStore,pong,10,0,1.0,1407.310564,45.549587,3.037873,3.065808,0.030303,41.93549,8.472415,8.514023,41.965237
EndpointStore,pong,10,0,1.0,1356.010659,46.045296,3.084625,3.115678,0.020354,41.78951,8.427822,8.47289,41.814179
EndpointStore,pong,10,0,1.0,1315.849926,45.926765,3.140281,3.170706,0.028728,42.20756,8.18028,8.219867,42.232825
EndpointStore,pong,100,0,1.0,1286.433273,45.585149,3.146529,3.177628,0.020889,42.24021,8.7822,8.824354,42.268624
EndpointStore,pong,100,0,1.0,1295.031971,45.709522,3.431469,3.46726,0.021449,42.087079,7.886258,7.930822,42.115945
EndpointStore,pong,100,0,1.0,1294.586121,45.930029,3.633107,3.670522,0.019613,42.008126,7.465783,7.498381,42.035827
EndpointStore,pong,100,0,1.0,1328.096149,45.239675,3.239489,3.272114,0.02008,44.387646,7.949723,7.983293,44.41363
EndpointStore,pong,100,0,1.0,1318.097699,44.735288,3.072486,3.10154,0.019627,41.736011,7.884066,7.919296,41.763144
EndpointStore,pong,1000,0,1.0,1399.439899,51.809902,3.061133,3.089692,0.023305,41.963558,9.751381,9.804206,41.991177
EndpointStore,pong,1000,0,1.0,1322.261493,49.698887,3.103735,3.135285,0.02575,41.77098,7.955387,7.994541,41.800721
EndpointStore,pong,1000,0,1.0,1312.278522,45.675384,3.298116,3.331327,0.020956,41.839802,7.731103,7.766067,41.868722
EndpointStore,pong,1000,0,1.0,1303.174283,45.783221,3.073931,3.109818,0.023693,45.139013,8.312075,8.345797,45.166114
EndpointStore,pong,1000,0,1.0,1348.405076,46.067493,3.558301,3.593306,0.020442,42.064763,7.725219,7.762862,42.094057
EndpointStore,pong,10000,0,1.0,1351.022706,83.265434,3.104651,3.134651,0.020837,42.251905,9.996649,10.033844,42.279336
EndpointStore,pong,10000,0,1.0,1413.451482,82.570886,3.410842,3.443901,0.019224,41.651562,7.70642,7.738414,41.679003
EndpointStore,pong,10000,0,1.0,1356.404014,82.411704,3.184742,3.215695,0.02052,42.231325,8.175556,8.210999,42.26028
EndpointStore,pong,10000,0,1.0,1333.31189,85.010882,3.363074,3.397608,0.020925,44.978651,8.203822,8.24473,45.006174
EndpointStore,pong,10000,0,1.0,1317.806672,82.899163,3.399927,3.432504,0.030048,42.028377,7.988005,8.026472,42.055155
EndpointStore,pong,100000,0,1.0,1304.744658,162.160167,3.326985,3.358404,0.020326,41.630491,8.185975,8.223538,41.655579
EndpointStore,pong,100000,0,1.0,1367.34377,161.273152,3.411893,3.443806,0.024264,42.425056,10.20956,10.248616,42.455574
EndpointStore,pong,100000,0,1.0,1327.711334,162.62287,3.574377,3.609349,0.025161,42.096692,8.539463,8.575399,42.126648
EndpointStore,pong,100000,0,1.0,1324.932758,162.30646,3.336699,3.369715,0.020204,42.221701,8.292575,8.335899,42.249819
EndpointStore,pong,100000,0,1.0,1290.982903,161.474303,3.528805,3.566037,0.019933,42.296776,8.120723,8.155939,42.326462
EndpointStore,pong,1000000,0,1.0,3028.193132,431.357407,5.506049,5.530931,0.010894,112.913517,5.716863,5.741578,112.941105
EndpointStore,pong,1000000,0,1.0,1456.54814,459.736309,4.952727,4.978444,0.010899,112.434187,9.536696,9.584742,112.451882
EndpointStore,pong,1000000,0,1.0,1472.107678,412.48269,4.697744,4.723308,0.008624,112.383956,9.932436,9.976956,112.403757
EndpointStore,pong,1000000,0,1.0,1496.954853,447.459965,4.718628,4.743438,0.020584,112.164989,10.01621,10.072697,112.185169
EndpointStore,pong,1000000,0,1.0,1451.69765,551.675268,4.981835,5.009586,0.0201,114.049592,7.350562,7.386147,114.067063
EndpointStore,pong,10000000,0,1.0,3375.899735,2820.741234,22.84977,22.884244,1935.854135,112.20106,5.967732,5.99685,112.222137
EndpointStore,pong,10000000,0,1.0,3508.117032,2833.585533,20.752756,20.789326,1949.651781,112.706319,8.425772,8.456707,112.72595
EndpointStore,pong,10000000,0,1.0,3628.013712,2888.503816,20.320625,20.356706,2005.455303,112.634759,7.104728,7.133949,112.656853
EndpointStore,pong,10000000,0,1.0,3446.768874,2884.673612,20.183095,20.219624,1999.764688,112.891316,10.332156,10.36286,112.912416
EndpointStore,pong,10000000,0,1.0,3470.472671,2879.928034,21.318055,21.355614,1997.257903,112.718183,5.816314,5.845305,112.739185
EndpointStore,pong,100000000,0,1.0,11996.272119,11387.785324,330.796634,330.916738,10511.820076,112.487655,5.506361,5.534013,112.516107
EndpointStore,pong,100000000,0,1.0,10375.84692,9789.046301,328.227427,328.292541,8913.361981,113.565355,5.743243,5.774882,113.587799
EndpointStore,pong,100000000,0,1.0,9984.52863,9398.35383,349.009268,349.082222,8522.706792,112.199859,5.998229,6.027719,112.222473
EndpointStore,pong,100000000,0,1.0,9799.307647,9211.958861,328.068896,328.179502,8335.582602,115.541264,5.936711,5.968218,115.565707
EndpointStore,pong,100000000,0,1.0,9731.372214,9160.200981,322.580732,322.647767,8284.122248,112.406417,5.759145,5.788714,112.428542
,pong,0,0,1.0,5946.87118,,,,,,,,
,pong,0,0,1.0,1308.96593,,,,,,,,
,pong,0,0,1.0,1239.163571,,,,,,,,
,pong,0,0,1.0,1294.099375,,,,,,,,
,pong,0,0,1.0,1230.608783,,,,,,,,
,pong,10,0,1.0,1213.654835,,,,,,,,
,pong,10,0,1.0,1215.536037,,,,,,,,
,pong,10,0,1.0,1212.962501,,,,,,,,
,pong,10,0,1.0,1221.976272,,,,,,,,
,pong,10,0,1.0,1222.273233,,,,,,,,
,pong,100,0,1.0,1273.077843,,,,,,,,
,pong,100,0,1.0,1286.540751,,,,,,,,
,pong,100,0,1.0,1214.4408,,,,,,,,
,pong,100,0,1.0,1214.583024,,,,,,,,
,pong,100,0,1.0,1219.577886,,,,,,,,
,pong,1000,0,1.0,1220.427595,,,,,,,,
,pong,1000,0,1.0,1203.008717,,,,,,,,
,pong,1000,0,1.0,1221.692437,,,,,,,,
,pong,1000,0,1.0,1243.109572,,,,,,,,
,pong,1000,0,1.0,1214.933119,,,,,,,,
,pong,10000,0,1.0,1271.126937,,,,,,,,
,pong,10000,0,1.0,1285.181121,,,,,,,,
,pong,10000,0,1.0,1293.938083,,,,,,,,
,pong,10000,0,1.0,1279.538046,,,,,,,,
,pong,10000,0,1.0,1290.786965,,,,,,,,
,pong,100000,0,1.0,1862.185962,,,,,,,,
,pong,100000,0,1.0,1784.880502,,,,,,,,
,pong,100000,0,1.0,1853.275001,,,,,,,,
,pong,100000,0,1.0,1743.771206,,,,,,,,
,pong,100000,0,1.0,1799.221442,,,,,,,,
,pong,1000000,0,1.0,2466.612686,,,,,,,,
,pong,1000000,0,1.0,2463.303596,,,,,,,,
,pong,1000000,0,1.0,2121.673217,,,,,,,,
,pong,1000000,0,1.0,2140.422937,,,,,,,,
,pong,1000000,0,1.0,2402.95286,,,,,,,,
,pong,10000000,0,1.0,6233.696394,,,,,,,,
,pong,10000000,0,1.0,5385.67494,,,,,,,,
,pong,10000000,0,1.0,5189.110207,,,,,,,,
,pong,10000000,0,1.0,4928.552608,,,,,,,,
,pong,10000000,0,1.0,4769.705781,,,,,,,,
GlobusStore,pong,0,0,1.0,11672.960955,412.386683,827.277347,827.326599,0.015916,4367.867911,143.04126,143.094786,4367.90571
GlobusStore,pong,0,0,1.0,9294.883512,4191.77407,214.062552,214.113417,3317.742601,4372.334352,137.553163,137.595407,4372.364485
